,nom_mag,addresse,lat,long
50,Aldi Supermarkt Turnhoutsebaan,"Turnhoutsebaan 157
2400 Mol",51.202951,5.1147358
51,Aldi Supermarkt,"Mechelsesteenweg 37
2640 Mortsel",51.1694423,4.4516222770599745
52,Aldi Supermarkt,"Bouwelsesteenweg 134A
2560 Nijlen",51.1645712,4.6876886
53,Aldi Supermarkt,"Bulestraat 30
2250 Olen",51.14418295,4.863223131776724
54,Aldi Outletstore,"Bulestraat 2
2250 Olen",51.14403985,4.861760211338002
55,Aldi Supermarkt,"Steenweg op Turnhout 58-60
2360 Oud-Turnhout",51.3200039,4.9768433
56,Aldi Supermarkt,"Mechelbaan 387
2580 Putte",51.0568245,4.635310486578929
57,Aldi Supermarkt,"Westmeerbeeksesteenweg 27a
2230 Ramsel",51.03545585,4.8319289200843745
58,Aldi Supermarkt,"Kromstraat 62 a
2520 Ranst",51.1937601,4.550561560603715
59,Aldi Supermarkt,"Grote Baan 84
2380 Ravels",51.3670481,4.991507147118673
60,Aldi Supermarkt,"Turnhoutsebaan 84-88
2470 Retie",51.2715725,5.0767336
61,Aldi Supermarkt,"Merksplassesteenweg 110
2310 Rijkevorsel",51.34845235,4.810973910001918
62,Aldi Supermarkt,"Provinciale Steenweg 459
2627 Schelle",51.11580465,4.334441667687191
63,Aldi Supermarkt,"Turnhoutsebaan 472
2970 Schilde",51.246113199999996,4.598225427017999
64,Aldi Supermarkt,"Paalstraat 347
2900 Schoten",51.261656849999994,4.507098313848237
65,Aldi Supermarkt,"Heikant 16
2890 Sint-Amands",51.058879,4.2074676
66,Aldi Supermarkt,"Handelslei 10
2960 Sint-Job-in-'t-Goor",51.303419149999996,4.570732936367984
67,Aldi Supermarkt,"Leliestraat 13
2860 Sint-Katelijne-Waver",51.06778745,4.539777077201541
68,Aldi Supermarkt,"Hoogeind 8
2940 Stabroek",51.3349151,4.3741690883914615
71,Aldi Supermarkt,"Oude Geelsebaan 12
2431 Veerle-Laakdal",51.068194000000005,4.978517292042522
72,Aldi,"Boerenkrijglaan 59A
2260 Westerlo",51.089344,4.913748078169016
73,Aldi Supermarkt,"Dorenboslaan 101
2110 Wijnegem",51.2238236,4.5064205
74,Aldi Supermarkt,"Denderlaan 14
2830 Willebroek",51.0603043,4.350474495943075
75,Aldi Supermarkt,"Moerelei 11
2610 Wilrijk",51.1606272,4.3675218
76,Aldi Supermarkt,"Herentalsebaan 150
2160 Wommelgem",51.20095925,4.488700892467035
77,Aldi Supermarkt,"Bredabaan 533
2990 Wuustwezel",51.3863924,4.5878763
78,Aldi Supermarkt,"Langestraat 75
2240 Zandhoven",51.2332256,4.6867434
79,Aldi Supermarkt,"Handelslei 199
2980 Zoersel",51.27306555,4.647255260888793
82,Aldi,"Rue Saint-Guidon 75
1070 Anderlecht",50.8363262,4.302393426239111
83,Aldi,"Chaussée de Mons 576
1070 Anderlecht",50.83202025,4.312096759283362
85,Aldi,"Chaussée de Haecht 1248-1250
1140 Evere",50.8769836,4.4078948
87,Aldi,"Chaussée de Gand 271-279
1081 Koekelberg",50.8568174,4.3263835
88,Aldi,"rue de Molenbeek 94
1020 Laeken",50.8738566,4.356068
